"start_station_name","ride_count","rider_type"
"Wells St & Polk St","7397","member"
"Canal St & Monroe St","7303","member"
"DuSable Lake Shore Dr & Belmont Ave","7293","casual"
"Dearborn St & Erie St","7277","casual"
"Cityfront Plaza Dr & Pioneer Ct","7260","member"
"Sheffield Ave & Waveland Ave","7259","member"
"Michigan Ave & 14th St","7246","member"
"Ritchie Ct & Banks St","7221","member"
"Clark St & Berwyn Ave","7207","member"
"Aberdeen St & Randolph St","7199","member"
"Dearborn St & Adams St","7139","member"
"Montrose Harbor","7133","member"
"Wells St & Hubbard St","7125","casual"
"Halsted St & Dickens Ave","7112","member"
"Wacker Dr & Washington St","7083","member"
"Canal St & Madison St","7067","casual"
"Wilton Ave & Belmont Ave","7022","casual"
"Racine Ave & Fullerton Ave","7014","member"
"Bissell St & Armitage Ave*","7000","member"
"State St & Chicago Ave","6997","casual"
"Southport Ave & Wellington Ave","6916","member"
"Lincoln Ave & Melrose St","6903","member"
"Clinton St & Madison St","6821","casual"
"Clifton Ave & Armitage Ave","6794","member"
"Dearborn Pkwy & Delaware Pl","6785","casual"
"Lincoln Ave & Diversey Pkwy","6767","member"
"Damen Ave & Chicago Ave","6754","member"
"Shore Dr & 55th St","6754","member"
"Stetson Ave & South Water St","6712","member"
"Orleans St & Hubbard St","6662","member"
"Elizabeth St & Randolph St","6651","member"
"California Ave & Milwaukee Ave","6649","member"
"Larrabee St & Division St","6571","member"
"Ellis Ave & 58th St","6571","member"
"Damen Ave & Cortland St","6531","member"
"Lincoln Park Conservatory","6529","casual"
"Sheridan Rd & Buena Ave","6519","member"
"Blackstone Ave & 59th St","6489","member"
"Broadway & Wilson Ave","6480","member"
"Financial Pl & Ida B Wells Dr","6463","member"
"Kedzie Ave & Milwaukee Ave","6455","member"
"Clark St & Newport St","6430","casual"
"Rush St & Hubbard St","6404","member"
"LaSalle Dr & Huron St","6382","member"
"Paulina St & Flournoy St","6359","member"
"May St & Taylor St","6356","member"
"Honore St & Division St","6329","member"
"Racine Ave & Belmont Ave","6325","member"
"Wolcott Ave & Polk St","6320","member"
"Streeter Dr & Grand Ave","6286","member"
"Sheffield Ave & Willow St","6282","member"
"Michigan Ave & Jackson Blvd","6271","casual"
"Michigan Ave & 8th St","6225","member"
"Sangamon St & Lake St","6211","member"
"Broadway & Cornelia Ave","6142","casual"
"Fairbanks Ct & Grand Ave","6121","casual"
"Lincoln Ave & Roscoe St*","6116","member"
"DuSable Lake Shore Dr & Wellington Ave","6095","casual"
"Woodlawn Ave & 55th St","6027","member"
"Woodlawn Ave & 58th St","5996","member"
"900 W Harrison St","5996","member"
"Daley Center Plaza","5971","casual"
"Desplaines St & Kinzie St","5952","casual"
"Southport Ave & Belmont Ave","5942","member"
"Wabash Ave & Adams St","5939","member"
"Aberdeen St & Monroe St","5937","member"
"Orleans St & Merchandise Mart Plaza","5861","casual"
"Clark St & North Ave","5857","member"
"Southport Ave & Wrightwood Ave","5849","member"
"Wabash Ave & Roosevelt Rd","5800","casual"
"Halsted St & Willow St","5799","member"
"Clark St & Ida B Wells Dr","5795","member"
"Lakefront Trail & Bryn Mawr Ave","5785","member"
"Wood St & Milwaukee Ave","5769","member"
"Sheffield Ave & Waveland Ave","5753","casual"
"Carpenter St & Huron St","5728","member"
"Broadway & Barry Ave","5700","casual"
"Clark St & Lake St","5681","casual"
"St. Clair St & Erie St","5661","casual"
"Lincoln Park Conservatory","5642","member"
"Clark St & Grace St","5582","member"
"Sangamon St & Washington Blvd","5579","member"
"Wabash Ave & Wacker Pl","5547","member"
"Dusable Harbor","5542","member"
"Wells St & Evergreen Ave","5531","casual"
"Wabash Ave & Wacker Pl","5492","casual"
"Larrabee St & Webster Ave","5489","casual"
"Lakeview Ave & Fullerton Pkwy","5465","casual"
"Damen Ave & Division St","5453","member"
"Milwaukee Ave & The 606","5421","member"
"Larrabee St & Oak St","5408","member"
"Mies van der Rohe Way & Chestnut St","5402","casual"
"Lakefront Trail & Bryn Mawr Ave","5390","casual"
"Cityfront Plaza Dr & Pioneer Ct","5386","casual"
"Pine Grove Ave & Waveland Ave","5359","casual"
"Ada St & Washington Blvd","5323","member"
"Clark St & Wrightwood Ave","5318","casual"
"Green St & Randolph St*","5293","member"
"Wood St & Chicago Ave","5277","member"
"Michigan Ave & Jackson Blvd","5271","member"
"Wells St & Institute Pl","5260","member"
"Ogden Ave & Race Ave","5260","member"
"Clinton St & Jackson Blvd","5243","casual"
"Franklin St & Adams St ","5237","member"
"Clark St & Leland Ave","5232","member"
"Franklin St & Jackson Blvd","5219","casual"
"Halsted St & Maxwell St","5212","member"
"State St & Pearson St","5202","member"
"Broadway & Waveland Ave","5189","casual"
"Sheffield Ave & Fullerton Ave","5172","casual"
"Western Ave & Winnebago Ave","5157","member"
"Noble St & Milwaukee Ave","5134","member"
"Field Blvd & South Water St","5122","casual"
"Wabash Ave & 16th St","5102","member"
"Broadway & Berwyn Ave","5067","member"
"Greenview Ave & Fullerton Ave","5049","member"
"Clinton St & Washington Blvd","5029","casual"
"Orleans St & Chestnut St (NEXT Apts)","5027","member"
"Desplaines St & Randolph St","5018","member"
"Clark St & Bryn Mawr Ave","5016","member"
"Damen Ave & Thomas St (Augusta Blvd)","4984","member"
"Elizabeth St & Fulton St","4977","member"
"Sheffield Ave & Wrightwood Ave","4975","casual"
"Green St & Madison St","4959","casual"
"McCormick Place","4958","casual"
"LaSalle St & Washington St","4948","member"
"State St & Randolph St","4944","casual"
"Ashland Ave & Blackhawk St","4938","member"
"Halsted St & Clybourn Ave","4931","casual"
"University Ave & 59th St","4921","member"
"Southport Ave & Waveland Ave","4917","casual"
"Ashland Ave & Chicago Ave","4908","member"
"Michigan Ave & 18th St","4891","member"
"Clark St & Schiller St","4883","casual"
"Halsted St & Roscoe St","4850","casual"
"Southport Ave & Roscoe St","4843","casual"
"Jefferson St & Monroe St","4840","member"
"University Ave & 57th St","4838","casual"
"State St & Van Buren St","4834","member"
"Sheridan Rd & Argyle St","4821","member"
"Eckhart Park","4812","member"
"Wabash Ave & 9th St","4800","casual"
"Halsted St & Wrightwood Ave","4789","casual"
"Clinton St & Tilden St","4788","member"
"Larrabee St & Armitage Ave","4767","member"
"Canal St & Adams St","4757","casual"
"Clarendon Ave & Leland Ave","4740","member"
"Clark St & Montrose Ave","4739","member"
"Calumet Ave & 18th St","4737","member"
"Wood St & Taylor St (Temp)","4712","member"
"Federal St & Polk St","4697","casual"
"Southport Ave & Irving Park Rd","4686","member"
"Lake Park Ave & 56th St","4680","member"
"State St & Kinzie St","4679","casual"
"Wood St & Augusta Blvd","4678","member"
"Kingsbury St & Erie St","4670","casual"
"Michigan Ave & Madison St","4654","member"
"Burnham Harbor","4625","member"
"Fairbanks St & Superior St","4603","member"
"Rush St & Cedar St","4573","casual"
"Milwaukee Ave & Grand Ave","4553","casual"
"Halsted St & Fulton St","4532","casual"
"Ashland Ave & Augusta Blvd","4526","member"
"MLK Jr Dr & 29th St","4523","member"
"Clark St & Grace St","4513","casual"
"Lake Park Ave & 53rd St","4495","member"
"Lincoln Ave & Fullerton Ave","4487","casual"
"Damen Ave & Pierce Ave","4444","casual"
"Damen Ave & Leland Ave","4438","member"
"Rush St & Superior St","4434","casual"
"Sheridan Rd & Irving Park Rd","4425","casual"
"Dearborn St & Monroe St","4424","casual"
"Green St & Washington Blvd","4406","member"
"State St & Harrison St","4405","member"
"Ellis Ave & 53rd St","4397","member"
"Michigan Ave & Pearson St","4368","casual"
"Franklin St & Illinois St","4361","casual"
"Shore Dr & 55th St","4343","casual"
"Halsted St & Roosevelt Rd","4341","member"
"Broadway & Belmont Ave","4330","casual"
"Burnham Harbor","4322","casual"
"Paulina Ave & North Ave","4311","member"
"Cornell Ave & Hyde Park Blvd","4303","member"
"Hermitage Ave & Polk St","4299","member"
"Stockton Dr & Wrightwood Ave","4289","casual"
"Clark St & Winnemac Ave","4287","casual"
"Broadway & Granville Ave","4280","member"
"Michigan Ave & Pearson St","4276","member"
"Clinton St & Lake St","4261","casual"
"Wells St & Walton St","4261","casual"
"Campbell Ave & North Ave","4250","member"
"Dearborn St & Van Buren St","4232","member"
"Clark St & North Ave","4212","casual"
"Michigan Ave & Ida B Wells Dr","4211","casual"
"Larrabee St & Kingsbury St","4201","casual"
"Broadway & Thorndale Ave","4189","member"
"Clark St & Wellington Ave","4182","casual"
"Broadway & Argyle St","4176","member"
"McClurg Ct & Erie St","4174","casual"
"State St & 33rd St","4168","member"
"Ravenswood Ave & Lawrence Ave","4142","casual"
"Marine Dr & Ainslie St","4132","member"
"Racine Ave & Congress Pkwy","4123","member"
"Southport Ave & Wellington Ave","4113","casual"
"Ashland Ave & Wellington Ave","4093","member"
"Clark St & Drummond Pl","4080","casual"
"Delano Ct & Roosevelt Rd","4076","member"
"Aberdeen St & Jackson Blvd","4076","casual"
"Clybourn Ave & Division St","4065","member"
"Mies van der Rohe Way & Chicago Ave","4062","casual"
"Lakefront Trail & Wilson Ave","4059","casual"
"Sheffield Ave & Wellington Ave","4052","casual"
"Ellis Ave & 60th St","4038","casual"
"Pine Grove Ave & Irving Park Rd","3985","casual"
"Orleans St & Elm St","3972","member"
"Sheffield Ave & Webster Ave","3968","casual"
"Franklin St & Chicago Ave","3965","casual"
"Larrabee St & Menomonee St","3950","member"
"Peoria St & Jackson Blvd","3941","casual"
"Bissell St & Armitage Ave*","3919","casual"
"Ellis Ave & 55th St","3903","casual"
"Stetson Ave & South Water St","3902","casual"
"Larrabee St & North Ave","3875","member"
"Southport Ave & Clybourn Ave","3867","member"
"Racine Ave & Wrightwood Ave","3862","member"
"Sedgwick St & North Ave","3814","casual"
"Winthrop Ave & Lawrence Ave","3811","member"
"Damen Ave & Cortland St","3795","casual"
"Racine Ave & 18th St","3791","member"
"Racine Ave & Belmont Ave","3785","casual"
"Kedzie Ave & Milwaukee Ave","3774","casual"
"Sheridan Rd & Montrose Ave","3774","casual"
"Lincoln Ave & Sunnyside Ave","3772","member"
"Leavitt St & North Ave","3753","member"
"Walsh Park","3743","member"
"Halsted St & Dickens Ave","3735","casual"
"Ritchie Ct & Banks St","3732","casual"
"California Ave & Milwaukee Ave","3721","casual"
"Broadway & Sheridan Rd","3719","casual"
"Clark St & Chicago Ave","3691","casual"
"Adler Planetarium","3688","member"
"Ashland Ave & Division St","3666","casual"
"Artesian Ave & Hubbard St","3659","member"
"Benson Ave & Church St","3644","member"
"Loomis St & Jackson Blvd","3633","member"
"LaSalle Dr & Huron St","3633","casual"
"Aberdeen St & Carroll Ave","3629","member"
"Racine Ave & Washington Blvd","3625","member"
"Michigan Ave & Madison St","3617","casual"
"Sedgwick St & Webster Ave","3614","casual"
"Wells St & Polk St","3582","casual"
"Shedd Aquarium","3580","member"
"Wabash Ave & Adams St","3579","casual"
"Michigan Ave & 14th St","3578","casual"
"Paulina St & Montrose Ave","3549","member"
"Clark St & Berwyn Ave","3548","casual"
"Western Ave & Walton St","3545","member"
"Throop St & Taylor St","3542","member"
"Buckingham Fountain","3540","member"
"Ashland Ave & Wrightwood Ave","3528","member"
"Kimbark Ave & 53rd St","3525","casual"
"Leavitt St & Armitage Ave","3521","member"
"Wilton Ave & Diversey Pkwy*","3515","member"
"Sheridan Rd & Lawrence Ave","3507","member"
"Greenview Ave & Diversey Pkwy","3505","member"
"Franklin St & Lake St","3480","casual"
"Clarendon Ave & Junior Ter","3478","casual"
"Damen Ave & Charleston St","3473","member"
"Aberdeen St & Randolph St","3463","casual"
"Dayton St & North Ave","3462","casual"
"Morgan St & Lake St*","3461","casual"
"Wells St & Randolph St","3457","casual"
"Larrabee St & Division St","3453","casual"
"Sheffield Ave & Addison St ","3451","member"
"Clarendon Ave & Gordon Ter","3435","casual"
"Morgan Ave & 14th Pl","3431","member"
"Franklin St & Monroe St","3430","casual"
"Wolcott (Ravenswood) Ave & Montrose Ave","3428","member"
"Calumet Ave & 18th St","3414","casual"
"Seeley Ave & Roscoe St","3377","member"
"Drexel Ave & 60th St","3359","member"
"Leavitt St & Chicago Ave","3358","member"
"Ashland Ave & Grace St","3356","member"
"Sedgwick St & Huron St","3340","casual"
"Rush St & Hubbard St","3325","casual"
"Wilton Ave & Diversey Pkwy","3322","casual"
"Desplaines St & Jackson Blvd","3305","casual"
"Western Ave & Leland Ave","3297","member"
"Ravenswood Ave & Irving Park Rd","3296","member"
"Calumet Ave & 33rd St","3291","member"
"Sheffield Ave & Addison St ","3283","casual"
"Glenwood Ave & Morse Ave","3278","member"
"Damen Ave & Wicker Park Ave","3273","member"
"Ashland Ave & Lake St","3262","member"
"Michigan Ave & 18th St","3250","casual"
"Blue Island Ave & 18th St","3250","member"
"Griffin Museum of Science and Industry","3249","casual"
"Damen Ave & Foster Ave","3242","member"
"Clinton St & Roosevelt Rd","3238","member"
"Broadway & Ridge Ave","3236","member"
"California Ave & Cortez St","3226","member"
"Lincoln Ave & Belle Plaine Ave","3220","member"
"Ravenswood Ave & Berteau Ave","3209","member"
"N Green St & W Lake St","3201","member"
"LaSalle St & Adams St","3169","member"
"Lincoln Ave & Waveland Ave","3143","member"
"Green St & Randolph St*","3142","casual"
"Canal St & Taylor St","3142","member"
"Broadway & Wilson Ave","3136","casual"
"Elston Ave & Cortland St","3134","casual"
"Blackstone Ave & Hyde Park Blvd","3130","member"
"Sheridan Rd & Noyes St (NU)","3117","member"
"Lincoln Ave & Diversey Pkwy","3113","casual"
"Honore St & Division St","3089","casual"
"Wentworth Ave & Cermak Rd*","3084","member"
"Spaulding Ave & Armitage Ave","3061","member"
"Morgan St & 18th St","3059","member"
"State St & Van Buren St","3058","casual"
"Sheffield Ave & Kingsbury St","3051","casual"
"Ashland Ave & Grand Ave","3051","member"
"Franklin St & Washington St","3046","member"
"Damen Ave & Chicago Ave","3040","casual"
"Ogden Ave & Chicago Ave","3034","casual"
"Wentworth Ave & Cermak Rd*","3027","casual"
"Kedzie Ave & Palmer Ct","3018","member"
"Elizabeth St & Randolph St","2996","casual"
"Rhodes Ave & 32nd St","2986","member"
"Albany Ave & Bloomingdale Ave","2966","member"
"Lakefront Trail & Wilson Ave","2961","member"
"State St & Harrison St","2954","casual"
"Logan Blvd & Elston Ave","2951","member"
"Clark St & 9th St (AMLI)","2934","member"
"Lincoln Ave & Byron St","2924","member"
"Sheridan Rd & Noyes St (NU)","2916","casual"
"Dearborn St & Adams St","2892","casual"
"Damen Ave & Wellington Ave","2887","member"
"California Ave & Francis Pl","2885","member"
"Clark St & Leland Ave","2884","casual"
"Hampden Ct & Diversey Pkwy","2843","member"
"Stave St & Armitage Ave","2822","member"
"Financial Pl & Ida B Wells Dr","2817","casual"
"Damen Ave & Grand Ave","2814","member"
"Woodlawn Ave & 55th St","2804","casual"
"Loomis St & Lexington St","2801","casual"
"Paulina St & 18th St","2788","member"
"Southport Ave & Belmont Ave","2783","casual"
"Clark St & Arlington Pl","2774","member"
"Clifton Ave & Armitage Ave","2772","casual"
"Sangamon St & Lake St","2771","casual"
"Racine Ave & Fullerton Ave","2770","casual"
"Sedgwick St & Schiller St","2770","member"
"Wood St & Hubbard St","2766","member"
"Michigan Ave & Ida B Wells Dr","2759","member"
"Damen Ave & Sunnyside Ave","2758","member"
"Larrabee St & Armitage Ave","2743","casual"
"Western Ave & Division St","2743","member"
"Sheridan Rd & Buena Ave","2735","casual"
"Damen Ave & Clybourn Ave","2707","member"
"Halsted St & Maxwell St","2690","casual"
"Leavitt St & Belmont Ave","2688","member"
"Clark St & Ida B Wells Dr","2687","casual"
"Humboldt Blvd & Armitage Ave","2685","member"
"Damen Ave & Division St","2684","casual"
"900 W Harrison St","2681","casual"
"Burling St & Diversey Pkwy","2668","casual"
"LaSalle St & Jackson Blvd","2666","casual"
"Cannon Dr & Fullerton Ave","2651","casual"
"Southport Ave & Wrightwood Ave","2639","casual"
"Fulton Market","2638","member"
"Wood St & Milwaukee Ave","2606","casual"
"Milwaukee Ave & The 606","2601","casual"
"Halsted St & 18th St","2577","member"
"Lincoln Ave & Melrose St","2561","casual"
"Shields Ave & 31st St","2557","member"
"Damen Ave & Melrose Ave","2550","member"
"Emerald Ave & 31st St","2546","member"
"Carpenter St & Huron St","2544","casual"
